,TypeofContact,CityTier,Occupation,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,Passport,PitchSatisfactionScore,ProdTaken,age,duration,gender,product_pitched,trip_per_year,designation,income,info_1,info_2,info_3
917,Company Invited,1,Large Business,1,3,4,0,4,0,48,720.0,male,Standard,1,Senior Manager,400000.0,Single,Has Car,0
918,Self Enquiry,1,Large Business,1,3,4,0,4,1,24,420.0,male,Basic,2,Executive,267045.0,Single,No Car,0
919,Company Invited,1,Small Business,1,3,4,0,3,1,30,900.0,female,Basic,1,Executive,261045.0,Married,Has Car,0
920,Company Invited,2,Salaried,2,2,3,0,4,0,34,1020.0,male,Deluxe,2,Manager,344160.0,Single,No Car,1
921,Company Invited,2,Salaried,2,2,3,0,4,0,37,1500.0,male,Deluxe,12,Manager,358860.0,Single,Has Car,1
922,Company Invited,1,Small Business,1,3,4,1,3,1,38,1680.0,male,Basic,4,Executive,282600.0,Divorced,No Car,0
923,Company Invited,1,Large Business,1,3,4,1,3,1,33,480.0,female,Basic,4,Executive,258960.0,Divorced,Has Car,0
924,Company Invited,1,Large Business,1,3,4,1,3,0,50,960.0,female,Standard,2,Senior Manager,444405.0,Married,Has Car,0
925,Self Enquiry,1,Large Business,1,3,4,1,4,1,38,1080.0,female,Basic,2,Executive,280000.0,Divorced,Has Car,0
926,Self Enquiry,2,Small Business,2,2,3,1,3,0,41,420.0,male,Deluxe,2,Manager,360000.0,Married,No Car,1
927,Company Invited,2,Salaried,1,3,4,0,4,0,31,840.0,female,Standard,2,Senior Manager,300000.0,Divorced,Has Car,0
928,Company Invited,1,Salaried,1,3,4,0,4,0,50,1020.0,male,Deluxe,6,AVP,458220.0,Single,Has Car,0
929,Company Invited,1,Salaried,1,3,4,0,4,0,49,960.0,female,Standard,20,Senior Manager,363540.0,Single,Has Car,0
930,Self Enquiry,1,Salaried,1,3,4,0,4,0,54,960.0,male,Standard,2,Senior Manager,372000.0,Divorced,Has Car,0
931,Self Enquiry,2,Small Business,2,4,3,0,2,1,22,780.0,male,Basic,3,Executive,254130.0,Single,No Car,1
932,Self Enquiry,3,Salaried,2,3,3,0,2,1,31,1440.0,male,Standard,3,Senior Manager,379020.0,Married,Has Car,1
933,Company Invited,3,Salaried,2,3,3,0,2,0,51,960.0,male,Standard,3,Senior Manager,432825.0,Single,Has Car,1
934,Self Enquiry,2,Small Business,2,3,3,0,1,0,54,720.0,male,King,5,VP,417405.0,Married,No Car,1
935,Company Invited,3,Small Business,2,3,3,0,2,0,40,840.0,male,Deluxe,2,Manager,347355.0,Single,Has Car,1
936,Self Enquiry,3,Small Business,2,3,3,0,1,0,51,900.0,male,Deluxe,28,Manager,420270.0,Married,Has Car,1
937,Self Enquiry,2,Small Business,2,3,3,0,2,0,49,1800.0,male,Deluxe,3,Manager,400000.0,Married,No Car,1
938,Self Enquiry,2,Small Business,2,3,3,0,2,0,52,1680.0,male,Deluxe,5,Manager,346605.0,Married,No Car,1
939,Company Invited,2,Small Business,3,3,3,0,1,0,53,960.0,male,Deluxe,3,AVP,458550.0,Married,Has Car,2
940,Self Enquiry,1,Small Business,2,1,3,0,4,1,33,1260.0,female,Basic,2,Executive,266925.0,Married,Has Car,1
941,Self Enquiry,1,Small Business,2,3,3,0,5,0,44,840.0,male,Basic,4,Executive,312195.0,Married,No Car,1
942,Self Enquiry,2,Small Business,3,4,3,0,4,0,37,780.0,male,Basic,3,Executive,345825.0,Single,No Car,2
943,Self Enquiry,2,Small Business,3,3,3,0,5,0,33,780.0,male,King,6,VP,400000.0,Married,No Car,1
944,Self Enquiry,2,Small Business,3,4,3,0,5,0,30,900.0,male,Basic,7,Executive,318525.0,Single,No Car,2
945,Self Enquiry,1,Salaried,2,3,3,0,4,1,38,360.0,female,Basic,1,Executive,254790.0,Single,Has Car,1
946,Company Invited,2,Salaried,1,3,4,1,3,0,38,960.0,female,Standard,2,Senior Manager,400000.0,Single,No Car,0
947,Self Enquiry,3,Salaried,2,3,3,0,2,0,29,1020.0,female,Deluxe,3,Manager,324870.0,Married,Has Car,1
948,Self Enquiry,2,Salaried,2,3,3,0,2,0,40,780.0,male,Deluxe,3,Manager,350000.0,Divorced,Has Car,1
949,Self Enquiry,2,Small Business,2,3,3,0,2,0,48,360.0,male,Deluxe,1,Manager,300000.0,Married,No Car,1
950,Self Enquiry,2,Small Business,2,3,3,0,2,0,31,360.0,male,Deluxe,3,Manager,424350.0,Married,Has Car,1
951,Company Invited,2,Salaried,2,3,3,0,2,0,39,780.0,male,Deluxe,3,Manager,316980.0,Single,Has Car,1
952,Self Enquiry,2,Small Business,2,3,4,0,1,0,32,660.0,male,King,2,VP,555450.0,Married,No Car,1
953,Self Enquiry,2,Small Business,3,3,3,0,2,0,35,1920.0,male,Deluxe,5,Manager,351060.0,Married,No Car,2
954,Company Invited,2,Small Business,2,3,3,0,2,0,40,1620.0,female,Deluxe,3,Manager,349200.0,Divorced,No Car,1
955,Self Enquiry,3,Salaried,2,300,3,0,1,0,43,900.0,male,Deluxe,3,Manager,451395.0,Single,No Car,1
956,Company Invited,2,Small Business,2,3,3,0,2,0,30,1980.0,female,Deluxe,3,Manager,344325.0,Married,No Car,1
957,Self Enquiry,2,Salaried,2,3,3,0,1,0,32,1320.0,male,Deluxe,2,Manager,307890.0,Divorced,No Car,1
958,Self Enquiry,3,Small Business,2,3,3,0,1,0,42,780.0,male,Deluxe,5,Manager,345450.0,Single,No Car,1
959,Company Invited,2,Small Business,3,4,3,0,2,0,37,600.0,male,Basic,3,Executive,394320.0,Single,No Car,2
960,Company Invited,2,Salaried,2,3,4,0,2,0,40,960.0,male,Deluxe,2,Manager,330000.0,Married,No Car,1
961,Self Enquiry,2,Salaried,2,3,3,0,1,0,30,540.0,male,Basic,2,Executive,253110.0,Divorced,No Car,1
962,Self Enquiry,2,Salaried,2,3,3,0,2,0,30,480.0,male,Basic,5,Executive,332700.0,Divorced,Has Car,1
963,Company Invited,2,Salaried,2,3,3,0,2,0,43,540.0,female,Deluxe,5,Manager,308460.0,Divorced,No Car,1
964,Company Invited,2,Salaried,2,3,3,0,2,0,35,840.0,male,Deluxe,2,Manager,390765.0,Divorced,No Car,1
965,Self Enquiry,3,Small Business,2,3,3,0,1,0,40,600.0,female,Deluxe,2,Manager,330000.0,Divorced,Has Car,1
966,Company Invited,2,Small Business,2,3,3,0,2,0,41,1560.0,female,Deluxe,7,Manager,336195.0,Single,No Car,1
967,Self Enquiry,2,Large Business,2,300,3,0,2,0,30,1620.0,male,Deluxe,5,Manager,330000.0,Single,No Car,1
968,Company Invited,2,Small Business,2,3,3,0,2,0,27,840.0,male,Basic,12,Executive,307770.0,Divorced,Has Car,1
969,Self Enquiry,2,Small Business,3,3,3,0,2,0,36,1320.0,male,Standard,1,Senior Manager,381765.0,Married,Has Car,2
970,Self Enquiry,2,Small Business,2,3,3,0,2,1,20,1500.0,female,Basic,3,Executive,295620.0,Single,No Car,1
971,Company Invited,3,Salaried,2,3,3,0,2,0,38,1260.0,male,Deluxe,3,Manager,342495.0,Single,No Car,1
972,Self Enquiry,2,Salaried,2,3,3,0,2,0,45,1800.0,male,Deluxe,8,Manager,317640.0,Married,No Car,1
973,Company Invited,2,Small Business,2,3,3,0,1,0,40,780.0,male,Deluxe,1,Manager,340000.0,Divorced,Has Car,1
974,Self Enquiry,2,Salaried,2,3,3,0,2,0,42,2040.0,female,Deluxe,3,Manager,318075.0,Single,No Car,1
975,Self Enquiry,2,Salaried,3,3,4,0,1,0,47,840.0,female,Standard,2,Senior Manager,385545.0,Married,No Car,2
976,Self Enquiry,2,Salaried,2,3,3,0,2,0,33,1380.0,female,Standard,5,Senior Manager,348450.0,Married,Has Car,1
977,Self Enquiry,2,Small Business,3,3,3,0,1,0,43,600.0,male,Standard,2,Manager,365175.0,Divorced,Has Car,2
978,Self Enquiry,2,Salaried,3,3,3,0,1,0,41,420.0,female,Standard,5,Senior Manager,394530.0,Single,No Car,2
979,Self Enquiry,2,Small Business,2,3,3,0,2,1,33,420.0,male,Deluxe,7,Manager,300000.0,Married,No Car,1
980,Self Enquiry,2,Small Business,2,3,3,0,2,0,40,1920.0,male,Deluxe,3,Manager,340320.0,Divorced,Has Car,1
981,Self Enquiry,2,Small Business,2,3,4,0,1,0,57,660.0,female,King,6,VP,521385.0,Married,Has Car,1
982,Self Enquiry,2,Small Business,2,3,3,0,1,0,45,840.0,male,Standard,8,Senior Manager,314655.0,Married,Has Car,1
983,Self Enquiry,2,Salaried,2,4,3,0,2,0,44,780.0,male,Deluxe,3,Manager,307740.0,Married,No Car,1
984,Self Enquiry,2,Salaried,2,3,3,0,2,0,30,1260.0,male,Basic,2,Executive,256560.0,Divorced,Has Car,1
985,Company Invited,2,Salaried,3,3,3,0,2,0,32,900.0,male,Standard,2,Manager,300000.0,Married,No Car,1
986,Company Invited,1,Small Business,2,3,3,0,2,0,42,780.0,female,Deluxe,3,Manager,319830.0,Divorced,Has Car,1
987,Self Enquiry,1,Small Business,2,3,3,0,2,0,40,780.0,male,Deluxe,4,Manager,340000.0,Married,Has Car,1
988,Self Enquiry,1,Small Business,2,3,3,0,1,0,22,480.0,female,Basic,3,Executive,260475.0,Single,No Car,1
989,Company Invited,1,Small Business,2,3,3,0,2,0,36,1500.0,male,Basic,3,Executive,316575.0,Divorced,No Car,1
990,Self Enquiry,1,Small Business,2,3,3,0,2,0,38,420.0,male,Basic,4,Executive,263805.0,Married,No Car,1
991,Self Enquiry,2,Small Business,2,4,3,1,1,0,50,600.0,female,Deluxe,2,Manager,365610.0,Divorced,No Car,1
992,Self Enquiry,2,Salaried,2,4,3,1,2,1,25,780.0,male,Basic,3,Executive,310845.0,Single,No Car,1
993,Company Invited,2,Salaried,3,3,4,1,2,0,39,1800.0,female,Deluxe,6,Manager,300000.0,Single,Has Car,2
994,Company Invited,2,Salaried,3,3,3,0,2,0,50,840.0,female,Deluxe,4,AVP,529785.0,Single,Has Car,2
995,Self Enquiry,3,Small Business,1,4,4,0,2,0,50,480.0,female,Standard,2,Senior Manager,362835.0,Single,Has Car,0
996,Self Enquiry,2,Salaried,2,3,3,0,2,0,37,900.0,male,King,2,VP,506400.0,Married,No Car,1
997,Company Invited,2,Large Business,1,4,4,0,2,1,37,900.0,male,Basic,1,Executive,263925.0,Single,No Car,0
998,Company Invited,1,Small Business,1,4,4,0,2,0,47,720.0,female,Standard,2,Senior Manager,450390.0,Divorced,Has Car,0
999,Self Enquiry,2,Salaried,1,4,4,0,2,0,51,900.0,female,Deluxe,5,AVP,470000.0,Divorced,Has Car,0
1000,Company Invited,1,Salaried,1,4,4,0,1,0,47,780.0,female,Standard,1,Senior Manager,400000.0,Married,No Car,0
1001,Company Invited,1,Small Business,1,5,4,0,3,0,52,840.0,male,Standard,24,Senior Manager,374220.0,Married,Has Car,0
1002,Self Enquiry,2,Small Business,3,3,3,1,3,0,37,900.0,male,Standard,3,Senior Manager,464940.0,Married,No Car,2
1003,Self Enquiry,1,Small Business,3,4,3,0,4,0,35,540.0,male,Basic,6,Executive,329610.0,Single,Has Car,2
1004,Self Enquiry,1,Small Business,2,3,3,0,1,0,34,420.0,female,Basic,3,Executive,400000.0,Divorced,No Car,1
1005,Self Enquiry,1,Salaried,3,3,3,0,2,0,30,600.0,female,Deluxe,5,Manager,324570.0,Divorced,No Car,2
1006,Self Enquiry,1,Large Business,3,3,3,0,2,0,48,600.0,female,Basic,20,Executive,311445.0,Single,No Car,2
1007,Self Enquiry,1,Small Business,2,3,3,0,2,0,27,480.0,male,Basic,2,Executive,372600.0,Married,No Car,1
1008,Self Enquiry,1,Small Business,3,3,3,0,2,0,47,480.0,male,Basic,2,Executive,262710.0,Married,No Car,2
1009,Company Invited,1,Small Business,2,3,3,0,2,1,29,1440.0,male,Basic,1,Executive,266910.0,Married,Has Car,1
1010,Self Enquiry,1,Salaried,2,3,3,0,2,0,30,900.0,female,Deluxe,3,Manager,400000.0,Married,No Car,1
1011,Self Enquiry,1,Large Business,2,4,3,0,1,0,42,1500.0,male,Deluxe,4,Manager,320000.0,Married,No Car,1
1012,Company Invited,1,Salaried,3,3,3,0,1,0,42,480.0,male,Standard,2,Senior Manager,423645.0,Single,No Car,2
1013,Self Enquiry,1,Salaried,3,4,3,0,2,0,20,1860.0,male,Deluxe,2,Manager,370560.0,Single,No Car,2
1014,Company Invited,1,Salaried,3,3,3,0,2,0,46,480.0,male,Deluxe,1,Manager,316605.0,Married,Has Car,1
1015,Self Enquiry,1,Small Business,2,3,3,0,1,0,34,780.0,female,Deluxe,1,Manager,286440.0,Married,Has Car,1
1016,Self Enquiry,1,Small Business,2,3,3,0,2,0,32,960.0,male,Deluxe,12,Manager,400000.0,Married,Has Car,1
1017,Self Enquiry,1,Salaried,2,3,3,0,2,0,42,360.0,female,Deluxe,3,Manager,306270.0,Married,No Car,1
1018,Self Enquiry,1,Salaried,2,3,3,0,2,0,30,420.0,male,Basic,3,Executive,300000.0,Married,Has Car,1
1019,Company Invited,1,Salaried,2,3,3,0,2,0,50,720.0,male,Standard,7,Senior Manager,500000.0,Single,Has Car,1
1020,Self Enquiry,1,Small Business,2,3,3,0,2,0,56,780.0,female,Deluxe,1,Manager,384405.0,Married,Has Car,1
1021,Self Enquiry,1,Salaried,3,3,3,0,2,0,60,420.0,male,Standard,2,Senior Manager,343545.0,Single,Has Car,2
1022,Company Invited,1,Large Business,2,3,3,0,2,0,45,600.0,male,Deluxe,3,Manager,331305.0,Married,No Car,1
1023,Self Enquiry,1,Small Business,2,4,3,0,2,0,46,600.0,male,Deluxe,2,Manager,331455.0,Divorced,No Car,1
1024,Self Enquiry,2,Small Business,3,3,3,0,4,0,52,1800.0,female,Deluxe,4,Manager,366405.0,Married,No Car,2
1025,Company Invited,2,Small Business,2,3,3,0,2,1,21,600.0,female,Basic,3,Executive,255075.0,Married,Has Car,1
1026,Self Enquiry,2,Small Business,2,3,3,0,1,0,38,600.0,female,Deluxe,1,Manager,272730.0,Single,No Car,1
1027,Company Invited,2,Small Business,1,3,3,0,2,0,24,900.0,female,Basic,2,Executive,249480.0,Single,Has Car,0
1028,Self Enquiry,2,Small Business,1,3,3,0,2,0,30,1080.0,male,Standard,3,Senior Manager,360660.0,Married,Has Car,0
1029,Company Invited,2,Small Business,1,3,3,0,2,0,31,780.0,male,Standard,2,Senior Manager,392745.0,Single,Has Car,0
1030,Self Enquiry,2,Small Business,1,3,3,0,2,0,20,1320.0,male,Standard,2,Senior Manager,345240.0,Married,No Car,0
1031,Company Invited,2,Salaried,1,3,3,0,1,1,34,540.0,male,Deluxe,2,Manager,259305.0,Divorced,No Car,0
1032,Self Enquiry,2,Large Business,2,3,3,0,2,0,58,480.0,female,Deluxe,20,AVP,506370.0,Married,No Car,1
1033,Company Invited,2,Small Business,1,3,3,0,2,0,30,780.0,male,Deluxe,2,Manager,321765.0,Single,No Car,0
1034,Self Enquiry,2,Small Business,2,3,4,0,2,0,50,840.0,male,Deluxe,7,AVP,510000.0,Single,No Car,1
1035,Self Enquiry,2,Small Business,2,3,3,0,1,0,33,780.0,female,Deluxe,8,Manager,400000.0,Married,No Car,1
1036,Self Enquiry,3,Small Business,1,3,4,0,2,1,23,780.0,male,Deluxe,3,AVP,251550.0,Single,Has Car,0
1037,Company Invited,2,Small Business,2,3,4,0,2,0,51,1080.0,female,Standard,6,Senior Manager,508485.0,Married,Has Car,1
1038,Company Invited,2,Salaried,1,3,3,0,2,0,28,600.0,male,Deluxe,1,Manager,300000.0,Married,No Car,0
1039,Company Invited,2,Small Business,1,3,3,0,2,0,34,960.0,male,Deluxe,2,Manager,277620.0,Married,No Car,0
1040,Self Enquiry,2,Small Business,1,3,3,0,2,1,23,480.0,male,Basic,1,Executive,256335.0,Divorced,Has Car,0
1041,Company Invited,2,Salaried,1,3,3,0,2,0,47,480.0,male,Standard,2,Senior Manager,359895.0,Divorced,Has Car,0
1042,Self Enquiry,2,Small Business,2,3,3,0,1,0,33,840.0,female,Basic,2,Executive,255825.0,Divorced,Has Car,1
1043,Company Invited,2,Small Business,2,3,3,0,2,0,27,780.0,male,Deluxe,1,Manager,300570.0,Married,No Car,1
1044,Company Invited,2,Salaried,2,3,3,0,2,0,38,1860.0,female,Deluxe,1,Manager,310920.0,Divorced,No Car,1
1045,Self Enquiry,2,Salaried,3,3,3,0,1,0,52,540.0,male,Deluxe,3,Manager,382650.0,Married,Has Car,2
1046,Self Enquiry,1,Salaried,3,3,3,0,4,0,53,420.0,male,King,6,Executive,267270.0,Married,No Car,2
1047,Self Enquiry,2,Large Business,1,4,4,1,2,1,18,540.0,female,Basic,4,Executive,264585.0,Single,No Car,0
1048,Self Enquiry,2,Small Business,3,3,3,0,3,0,33,780.0,female,Standard,2,Senior Manager,348885.0,Married,Has Car,2
1049,Self Enquiry,2,Small Business,3,3,3,0,3,0,28,1440.0,male,Deluxe,5,Manager,303840.0,Divorced,No Car,2
1050,Self Enquiry,2,Large Business,3,3,3,0,3,0,34,480.0,male,Deluxe,3,Manager,320655.0,Married,No Car,2
1051,Self Enquiry,2,Large Business,3,3,4,0,3,0,43,900.0,male,King,2,VP,437670.0,Divorced,Has Car,2
1052,Self Enquiry,2,Large Business,3,3,4,0,3,0,20,840.0,male,Standard,3,Senior Manager,425430.0,Married,No Car,2
1053,Self Enquiry,3,Salaried,3,3,4,0,4,0,29,540.0,female,Deluxe,2,Manager,264540.0,Single,Has Car,2
1054,Company Invited,3,Salaried,3,3,4,0,4,0,29,480.0,female,Standard,2,Senior Manager,373575.0,Married,No Car,2
1055,Self Enquiry,2,Salaried,3,3,3,0,4,0,38,780.0,male,Deluxe,3,Manager,329325.0,Married,Has Car,2
1056,Company Invited,2,Salaried,3,3,3,0,3,0,30,780.0,female,Deluxe,3,Manager,321615.0,Married,Has Car,2
1057,Self Enquiry,2,Salaried,3,4,3,0,4,0,38,1320.0,male,Basic,12,Executive,339855.0,Married,No Car,2
1058,Company Invited,2,Salaried,3,3,3,1,3,1,27,720.0,female,Standard,1,Senior Manager,396120.0,Single,Has Car,1
1059,Company Invited,2,Salaried,2,4,3,0,1,0,46,420.0,male,King,6,VP,571785.0,Divorced,No Car,1
1060,Company Invited,1,Salaried,2,3,3,1,1,0,57,1020.0,male,Basic,1,Executive,473370.0,Married,No Car,1
1061,Self Enquiry,2,Salaried,3,4,3,1,1,0,25,660.0,male,Standard,3,Executive,438555.0,Divorced,No Car,2
1062,Self Enquiry,2,Salaried,1,3,3,1,2,0,24,480.0,male,Basic,2,Executive,312690.0,Single,No Car,0
1063,Self Enquiry,2,Small Business,1,3,4,1,2,1,32,840.0,female,Basic,1,Executive,264600.0,Divorced,No Car,0
1064,Company Invited,2,Small Business,1,3,3,1,2,1,35,1560.0,female,Basic,2,Executive,264780.0,Single,No Car,0
1065,Self Enquiry,2,Salaried,2,3,3,1,2,0,39,960.0,male,Standard,3,Senior Manager,448590.0,Single,Has Car,1
1066,Company Invited,2,Salaried,3,3,3,0,3,0,40,420.0,male,Deluxe,4,Manager,400000.0,Single,No Car,2
1067,Self Enquiry,1,Small Business,3,4,3,0,3,0,30,540.0,female,Basic,3,Executive,300000.0,Single,No Car,2
1068,Company Invited,1,Salaried,3,3,3,0,4,0,37,480.0,male,Deluxe,3,Manager,303135.0,Married,No Car,2
1069,Self Enquiry,1,Small Business,2,3,3,0,1,0,35,780.0,male,Basic,6,Executive,269715.0,Divorced,No Car,1
1070,Self Enquiry,2,Salaried,3,3,3,1,5,0,52,1020.0,male,King,2,VP,464535.0,Married,Has Car,0
1071,Self Enquiry,1,Large Business,2,3,3,1,2,0,38,600.0,male,Deluxe,2,Manager,315060.0,Divorced,No Car,1
1072,Company Invited,2,Small Business,1,4,3,0,3,1,38,1140.0,male,Basic,8,Executive,259155.0,Single,No Car,0
1073,Company Invited,2,Small Business,1,4,3,0,3,0,20,480.0,female,Basic,2,Executive,264240.0,Divorced,Has Car,0
1074,Company Invited,2,Small Business,2,4,3,0,3,0,42,1080.0,female,Basic,8,Executive,276960.0,Divorced,Has Car,1
1075,Self Enquiry,2,Small Business,2,4,3,0,3,1,22,540.0,female,Basic,1,Executive,256200.0,Single,Has Car,1
1076,Self Enquiry,3,Small Business,3,3,3,0,1,0,47,960.0,female,Standard,5,Senior Manager,519570.0,Married,Has Car,2
1077,Company Invited,2,Small Business,1,4,3,1,3,0,51,960.0,female,Basic,2,Executive,280000.0,Married,No Car,0
1078,Company Invited,1,Small Business,2,3,3,0,2,1,19,420.0,female,Basic,2,Executive,250000.0,Single,Has Car,1
1079,Company Invited,1,Small Business,1,3,3,0,2,0,58,1800.0,female,Deluxe,4,AVP,437640.0,Divorced,Has Car,0
1080,Self Enquiry,1,Salaried,2,3,3,0,1,0,53,540.0,male,Standard,3,Senior Manager,428790.0,Single,No Car,1
1081,Company Invited,1,Salaried,2,3,3,0,1,0,50,1020.0,male,Deluxe,1,AVP,454830.0,Divorced,Has Car,1
1082,Company Invited,1,Small Business,1,3,3,0,2,0,30,1440.0,male,Basic,5,Executive,267030.0,Married,No Car,0
1083,Company Invited,1,Salaried,2,3,3,0,2,0,53,540.0,female,Standard,4,Senior Manager,383040.0,Married,Has Car,1
1084,Self Enquiry,1,Large Business,2,3,3,0,2,0,36,780.0,male,Deluxe,1,Manager,300000.0,Divorced,No Car,1
1085,Self Enquiry,1,Small Business,1,3,4,0,2,0,51,960.0,female,Standard,20,Executive,266970.0,Married,Has Car,0
1086,Company Invited,1,Small Business,2,3,3,0,1,0,27,900.0,male,Basic,1,Executive,272580.0,Single,No Car,1
1087,Self Enquiry,1,Small Business,1,3,3,0,2,0,54,1020.0,male,Deluxe,5,Manager,400000.0,Divorced,No Car,0
1088,Company Invited,1,Salaried,1,3,3,0,1,1,32,1260.0,female,Basic,1,Executive,300000.0,Single,Has Car,0
1089,Self Enquiry,1,Large Business,2,3,3,0,2,0,45,780.0,female,Deluxe,1,Manager,297300.0,Single,Has Car,1
1090,Company Invited,1,Small Business,1,3,3,0,2,0,38,900.0,female,Basic,2,Executive,266535.0,Divorced,No Car,0
1091,Company Invited,1,Small Business,1,3,3,0,1,0,33,1440.0,male,Basic,1,Executive,260000.0,Single,No Car,0
1092,Self Enquiry,2,Small Business,3,4,3,0,2,0,50,960.0,male,Standard,2,Senior Manager,472995.0,Single,Has Car,2
1093,Self Enquiry,2,Small Business,1,3,4,0,1,0,30,480.0,female,Standard,4,Senior Manager,262065.0,Single,No Car,0
1094,Company Invited,2,Salaried,1,3,4,0,2,0,38,480.0,male,Deluxe,1,Manager,262515.0,Single,No Car,0
1095,Self Enquiry,1,Salaried,1,3,4,0,1,0,57,1860.0,male,Deluxe,3,AVP,417120.0,Married,Has Car,0
1096,Self Enquiry,2,Salaried,1,3,4,0,1,1,54,360.0,male,Standard,2,Senior Manager,300000.0,Married,No Car,0
1097,Self Enquiry,2,Small Business,1,3,4,0,2,0,30,1020.0,male,Deluxe,20,Senior Manager,308610.0,Single,No Car,0
1098,Company Invited,2,Small Business,1,3,4,0,1,0,52,960.0,male,Standard,2,Senior Manager,440000.0,Single,Has Car,0
1099,Self Enquiry,1,Salaried,1,3,4,0,1,0,43,720.0,male,Standard,2,Senior Manager,349005.0,Single,Has Car,0
1100,Self Enquiry,1,Large Business,1,3,4,0,1,0,50,540.0,male,Standard,5,Senior Manager,344025.0,Single,Has Car,0
1101,Company Invited,2,Salaried,1,3,4,0,2,1,51,660.0,female,Standard,4,Senior Manager,360285.0,Divorced,Has Car,0
1102,Company Invited,3,Salaried,1,3,4,0,2,0,30,660.0,male,Deluxe,1,Manager,299730.0,Single,No Car,0
1103,Company Invited,2,Small Business,1,3,4,0,2,1,31,960.0,female,Basic,1,Executive,300000.0,Single,No Car,0
1104,Company Invited,1,Large Business,1,3,4,0,2,0,55,960.0,female,Standard,20,Senior Manager,375570.0,Single,Has Car,0
1105,Self Enquiry,2,Small Business,1,3,4,0,2,1,30,960.0,male,Basic,7,Executive,254790.0,Single,No Car,0
1106,Company Invited,2,Salaried,1,3,4,0,2,0,28,960.0,male,Standard,5,Senior Manager,300000.0,Married,Has Car,0
1107,Self Enquiry,1,Small Business,1,3,5,0,2,0,35,480.0,female,King,4,VP,261465.0,Divorced,Has Car,0
1108,Company Invited,1,Large Business,1,3,4,0,2,1,26,960.0,male,Basic,2,Executive,300000.0,Single,Has Car,0
1109,Company Invited,1,Salaried,1,3,4,0,2,0,45,1680.0,male,Standard,2,Senior Manager,378750.0,Married,No Car,0
1110,Self Enquiry,3,Small Business,1,3,4,0,2,0,52,1020.0,female,Deluxe,1,Manager,346200.0,Divorced,Has Car,0
1111,Company Invited,2,Small Business,1,3,4,0,2,0,56,840.0,male,Deluxe,1,AVP,423795.0,Single,Has Car,0
1112,Company Invited,2,Small Business,3,3,3,1,1,1,57,540.0,male,King,6,VP,522795.0,Single,Has Car,2
1113,Self Enquiry,2,Small Business,2,3,3,1,1,0,58,960.0,female,King,2,VP,556005.0,Married,Has Car,1
1114,Self Enquiry,1,Large Business,2,3,3,1,1,0,36,720.0,male,Basic,1,Executive,264045.0,Married,Has Car,1
1115,Self Enquiry,1,Salaried,1,3,3,1,2,0,29,420.0,female,Standard,3,Senior Manager,358800.0,Divorced,Has Car,0
1116,Self Enquiry,1,Salaried,1,3,3,1,1,0,30,600.0,female,Deluxe,5,Manager,360000.0,Divorced,No Car,0
1117,Company Invited,2,Small Business,3,4,3,0,3,1,31,600.0,male,Basic,8,Executive,312285.0,Divorced,Has Car,2
1118,Company Invited,1,Salaried,2,3,3,0,2,0,54,960.0,male,King,2,VP,506685.0,Married,Has Car,1
1119,Self Enquiry,1,Salaried,2,3,3,0,2,0,58,780.0,male,King,24,VP,545295.0,Married,Has Car,1
1120,Self Enquiry,2,Salaried,1,3,4,1,2,0,53,720.0,female,Standard,5,Senior Manager,324870.0,Single,Has Car,0
1121,Company Invited,2,Small Business,1,3,4,1,2,0,55,540.0,male,Deluxe,2,AVP,454140.0,Single,No Car,0
1122,Company Invited,2,Large Business,1,3,4,1,2,1,44,1020.0,male,Standard,2,Senior Manager,266670.0,Married,No Car,0
1123,Company Invited,1,Small Business,1,3,4,1,2,1,23,1560.0,male,Basic,2,Executive,260250.0,Single,No Car,0
1124,Company Invited,1,Small Business,1,3,4,1,2,0,61,1980.0,male,Deluxe,20,AVP,468915.0,Married,Has Car,0
1125,Self Enquiry,3,Small Business,1,3,4,1,1,0,39,960.0,female,Standard,3,Senior Manager,400000.0,Divorced,No Car,0
1126,Company Invited,1,Large Business,1,3,4,1,2,0,43,540.0,male,Standard,5,Senior Manager,400000.0,Single,Has Car,0
1127,Self Enquiry,1,Small Business,2,3,3,1,1,0,56,480.0,male,King,6,VP,540705.0,Married,No Car,1
1128,Self Enquiry,2,Small Business,1,4,3,0,3,0,55,360.0,male,Super Deluxe,7,AVP,390000.0,Single,No Car,0
1129,Company Invited,1,Salaried,1,5,3,0,2,0,40,780.0,male,Deluxe,3,Manager,302805.0,Married,Has Car,0
1130,Self Enquiry,3,Small Business,1,3,4,0,3,0,34,1200.0,female,Standard,2,Senior Manager,260550.0,Divorced,Has Car,0
1131,Company Invited,2,Small Business,1,3,3,0,4,0,36,2040.0,female,Deluxe,4,Manager,334995.0,Married,No Car,0
1132,Self Enquiry,2,Small Business,2,3,3,0,4,1,38,960.0,male,Basic,2,Executive,250710.0,Single,No Car,1
1133,Company Invited,2,Small Business,1,3,3,0,5,0,55,1020.0,female,Deluxe,3,Manager,336165.0,Married,Has Car,0
1134,Self Enquiry,3,Small Business,1,3,4,0,4,0,53,840.0,male,Standard,1,Senior Manager,372660.0,Divorced,Has Car,0
1135,Company Invited,3,Small Business,2,3,3,0,4,0,20,780.0,female,Basic,2,Executive,255135.0,Married,Has Car,1
